E043DB	Shenzhen ViewAt
60DEF3	Huawei
58F987	Huawei
501D93	Huawei
D47226	zte
E482CC	Jumptronic
2016B9	Intel
781D4A	zte
F0766F	Apple
40CBC0	Apple
4098AD	Apple
6C4D73	Apple
C48466	Apple
B8634D	Apple
503237	Apple
D4619D	Apple
B0481A	Apple
989E63	Apple
DCA904	Apple
48A195	Apple
6CAB31	Apple
7C5049	Apple
E42B34	Apple
1C36BB	Apple
3C2EFF	Apple
6C96CF	Apple
3035AD	Apple
A8BE27	Apple
70A2B3	Apple
4C57CA	Apple
68FB7E	Apple
90C1C6	Apple
A4F1E8	Apple
AC61EA	Apple
38B54D	Apple
00CDFE	Apple
18AF61	Apple
CC4463	Apple
34159E	Apple
58B035	Apple
F0B479	Apple
109ADD	Apple
40A6D9	Apple
7CF05F	Apple
A4B197	Apple
0C74C2	Apple
403004	Apple
4860BC	Apple
D02B20	Apple
9CE33F	Apple
F0989D	Apple
ACE4B5	Apple
6C72E7	Apple
60FEC5	Apple
00A040	Apple
000D93	Apple
ACBC32	Apple
30D9D9	Apple
6030D4	Apple
94BF2D	Apple
C49880	Apple
E0338E	Apple
68FEF7	Apple
BCE143	Apple
645AED	Apple
C0B658	Apple
881908	Apple
FC2A9C	Apple
44D884	Apple
EC852F	Apple
286ABA	Apple
705681	Apple
7CD1C3	Apple
F0DCE2	Apple
B065BD	Apple
A82066	Apple
BC6778	Apple
68967B	Apple
848506	Apple
54AE27	Apple
6476BA	Apple
84B153	Apple
783A84	Apple
2CBE08	Apple
24E314	Apple
68D93C	Apple
2CF0EE	Apple
84788B	Apple
6C94F8	Apple
703EAC	Apple
B4F0AB	Apple
10DDB1	Apple
04F7E4	Apple
34C059	Apple
F0D1A9	Apple
BC3BAF	Apple
786C1C	Apple
041552	Apple
38484C	Apple
701124	Apple
C86F1D	Apple
685B35	Apple
380F4A	Apple
3010E4	Apple
04DB56	Apple
881FA1	Apple
04E536	Apple
F82793	Apple
ACFDEC	Apple
D0E140	Apple
8C7C92	Apple
7831C1	Apple
F437B7	Apple
50EAD6	Apple
28E02C	Apple
60C547	Apple
7C11BE	Apple
003EE1	Apple
C01ADA	Apple
34363B	Apple
C81EE7	Apple
9CFC01	Apple
CCC760	Apple
087402	Apple
285AEB	Apple
28F076	Apple
3C36E4	ARRIS Group
0000C5	ARRIS Group
D039B3	ARRIS Group
8C7F3B	ARRIS Group
946269	ARRIS Group
D40598	ARRIS Group
78719C	ARRIS Group
9CFEA1	Fiberhome Telecom
48D343	ARRIS Group
D40AA9	ARRIS Group
384C90	ARRIS Group
00ACE0	ARRIS Group
70700D	Apple
9CF48E	Apple
FCD848	Apple
E45740	ARRIS Group
E02202	ARRIS Group
001CB3	Apple
64B9E8	Apple
2C1DB8	ARRIS Group
949D57	Panasonic do Brasil Limitada
005089	Safety Management Systems
48DD9D	Itel Mobile
E48F65	Yelatma Instrument Making
9C2F73	Universal Tiancheng
54B203	Pegatron
E4EA83	Shenzhen Gongjin
0015D0	ARRIS Group
E86D52	ARRIS Group
3C438E	ARRIS Group
90B134	ARRIS Group
20E564	ARRIS Group
40B7F3	ARRIS Group
94CCB9	ARRIS Group
0050E3	ARRIS Group
EC7097	ARRIS Group
C0A00D	ARRIS Group
3C0461	ARRIS Group
88964E	ARRIS Group
F8F532	ARRIS Group
B083D6	ARRIS Group
44AAF5	ARRIS Group
7085C6	ARRIS Group
D0E54D	ARRIS Group
B4F2E8	ARRIS Group
FC8E7E	ARRIS Group
005094	ARRIS Group
E0B70A	ARRIS Group
C83FB4	ARRIS Group
207355	ARRIS Group
900DCB	ARRIS Group
14CFE2	ARRIS Group
903EAB	ARRIS Group
002143	ARRIS Group
0023EE	ARRIS Group
64ED57	ARRIS Group
0023A3	ARRIS Group
F87B7A	ARRIS Group
0025F1	ARRIS Group
001A66	ARRIS Group
0018C0	ARRIS Group
001E46	ARRIS Group
001ADE	ARRIS Group
0023AF	ARRIS Group
CCA462	ARRIS Group
001DCD	ARRIS Group
001DD4	ARRIS Group
001DCE	ARRIS Group
00080E	ARRIS Group
00159A	ARRIS Group
00192C	ARRIS Group
5856E8	ARRIS Group
5050CE	Hangzhou Dianyixia
2C28B7	Hangzhou Ruiying
9CE82B	vivo Mobile
002218	Akamai
544810	Dell
000413	snom
00D861	Micro-Star INTL
043385	Nanchang BlackShark
A0D86F	Private
48D35D	Private
D8F2CA	Intel
B4C62E	Molex CMS
B8259A	Thalmic
40B30E	Integrated Device Sdn. Bhd
04CE7E	NXP France Semiconductors France
A40C66	Shenzhen Colorful Yugong and Development
D8A01D	Espressif
ECFABC	Espressif
B4E62D	Espressif
807D3A	Espressif
3C71BF	Espressif
545AA6	Espressif
240AC4	Espressif
98CC4D	Shenzhen mantunsci
F8E94E	Apple
F40616	Apple
BCB863	Apple
C4E506	Piper Networks
6458AD	China Mobile IOT
A48CC0	JLG
CC75E2	ARRIS Group
EC5C68	Chongqing Fugui
44ECCE	Juniper Networks
F8A2D6	Liteon
74366D	Vodafone Italia S.p.A
A8B456	Cisco
F4C7C8	Kelvin
6845F1	Toshiba Client Solutions
84DB2F	Sierra Wireless
00A0D5	Sierra Wireless
28EC9A	Texas Instruments
70B317	Cisco
94E0D6	China Dragon
CC355A	SecuGen
B0D568	Shenzhen Cultraview Digital
DCEB69	Technicolor CH USA
94A40C	Diehl Metering
8CAEDB	NAG
D05157	LEAX Arkivator Telecom
2493CA	Voxtronic Austria
907E30	Lars
441AFA	New H3C
004E35	Hewlett Packard
500084	Siemens Canada
34029B	Plexonics
4861A3	Concern Axion JSC
646038	Hirschmann Automation and Control
0002C7	Alps Electric
30C3D9	Alps Electric
04766E	Alps Electric
E01877	Fujitsu
A06610	Fujitsu
001E70	Cobham Antenna Systems
ECC57F	Suzhou Pairlink Network
B0E7DE	Homa JSC
F84DFC	Hangzhou Hikvision Digital
006FF2	Mitsumi Electric
900218	BSkyB
88F56E	Huawei
D89B3B	Huawei
CC3FEA	BAE Systems
841C70	zte
1C3B8F	Selve
E4E749	HP
CCF735	Amazon
38839A	Shenzhen RF-Link
D49234	NEC
70C9C6	Cisco
70EA1A	Cisco
78DAA2	Cynosure
2C2BF9	LG Innotek
38E26E	ShenZhen Sweet Rain
38B19E	IEEE Registration Authority
18DFB4	Bosung Powertec
103D0A	Hui Zhou Gaoshengda
942790	TCT mobile
6429ED	AO PKK Milandr
F010AB	China Mobile Information
808F1D	TP-Link
186472	Aruba
F82F6A	Itel Mobile
1C2E1B	Suzhou Tremenet
00246C	Aruba
0CF475	Zliide ApS
001A3F	Intelbras
B00073	Wistron Neweb
48BD0E	Quanta Storage
349971	Quanta Storage
98B039	Nokia
84262B	Nokia
94E98C	Nokia
E48184	Nokia
BC8D0E	Nokia
B0754D	Nokia
BC6B4D	Nokia
A47B2C	Nokia
8CF773	Nokia
04C241	Nokia
94B819	Nokia
00D0F6	Nokia
48F8E1	Nokia
50E0EF	Nokia
3CF011	Intel
08ECF5	Cisco
8C5AF8	Beijing Xiaomi
885A06	Guangdong Oppo Mobile Telecom
505FB5	Askey
443E07	Electrolux
C08C71	Motorola Mobility
5C8816	Rockwell Automation
2C3F0B	Cisco Meraki
1C12B0	Amazon
ACD564	Chongqing Fugui
C0D2F3	Hui Zhou Gaoshengda
C42456	Palo Alto Networks
B88303	Hewlett Packard
E4CA12	zte
B4B686	HP
C8B1EE	Qorvo
482AE3	Wistron InfoCommCo
B0EB57	Huawei
8C15C7	Huawei
A4BE2B	Huawei
60FA9D	Huawei
DC9914	Huawei
2C97B1	Huawei
7089CC	China Mobile Group Device
7C96D2	Fihonest
904C81	Hewlett Packard
8C3579	QDIQO Sp. z o.o
34E12D	Intel
8C8126	Arcom
303926	Sony Mobile
205476	Sony Mobile
B8F934	Sony Mobile
58170C	Sony Mobile
6C23B9	Sony Mobile
2421AB	Sony Mobile
001813	Sony Mobile
A0E453	Sony Mobile
BC6E64	Sony Mobile
00EB2D	Sony Mobile
1C7B21	Sony Mobile
B8B7F1	Wistron Neweb
44EFCF	UGENE SOLUTION
A45385	Weifang Goertek
ACFD93	Weifang Goertek
D42122	Sercomm
00138A	Qingdao GoerTek
841766	Weifang Goertek
2C4D79	Weifang Goertek
A8D498	Avira Operations
98A404	Ericsson
00CC3F	Universal
108EE0	Samsung
68E7C2	Samsung
3C576C	Samsung
0CE0DC	Samsung
6C5940	Mercury
1C60DE	Mercury
F4EE14	Mercury
5061BF	Cisco
04AB18	Elecom
4C5E0C	Routerboard.com
0026BD	JTEC Card
00151E	ETHERNET Powerlink Standarization Group
641C67	Digibras DO Brasils/A
000284	UK Grid Solutions
FC94E3	Technicolor CH USA
D0B2C4	Technicolor CH USA
480033	Technicolor CH USA
14987D	Technicolor CH USA
D05A00	Technicolor CH USA
1062D0	Technicolor CH USA
3C9A77	Technicolor CH USA
D08A91	Technicolor CH USA
FC528D	Technicolor CH USA
40C3C6	SnapRoute
544E45	Private
0090CE	avateramedical Mechatronics
300EE3	Aquantia
7487BB	Ciena
EC3873	Juniper Networks
001E45	Sony Mobile
00219E	Sony Mobile
283F69	Sony Mobile
E8C57A	Ufispace
C4B8B4	Huawei
F89910	Integrated Device Sdn. Bhd
111111	Private
289EFC	Sagemcom Broadband SAS
84C9C6	Shenzhen Gongjin
20163D	Integrated Device Sdn. Bhd
702AD5	Samsung
68DD26	Shanghai Focus Vision Security
D8912A	ZyXEL
8CB0E9	Samsung
000BA3	Siemens
000B23	Siemens Home & Office. Devices
C4FEE2	AMICCOM
B44BD6	IEEE Registration Authority
486834	Silicon Motion
EC58EA	Ruckus Wireless
745933	Danal
009D6B	Murata Manufacturing
B0B867	Hewlett Packard
20F77C	vivo Mobile
0004AE	Sullair
F06130	Advantage Pharmacy
FCB10D	Shenzhen Tian Kun
F8A963	Compal Information
B870F4	Compal Information
1C7508	Compal Information
F0761C	Compal Information
88DF9E	New H3C
2C7CE4	Wuhan Tianyu Information
342792	Freebox SAS
EC6F0B	FADU
1062E5	HP
0017F3	Harris
14D169	Huawei
BCE265	Huawei
D016B4	Huawei
00B338	Kontron Asia Pacific Design Sdn. Bhd
00B670	Cisco
50DCFC	Ecocom
C08359	IEEE Registration Authority
244CE3	Amazon
4898CA	Sichuan AI-Link
20E882	zte
00049F	Freescale Semiconductor
000FB0	Compal
988ED4	Itel Mobile
A456CC	Technicolor CH USA
000B3B	devolo
889F6F	Samsung
9CF6DD	IEEE Registration Authority
009093	EIZO
E049ED	Audeze
4062EA	China Mobile Group Device
2C15E1	Phicomm
14E9B2	Fiberhome Telecom
D4741B	Beijing HuaDa ZhiBao
B4DDD0	Continental Automotive Hungary Kft
A43523	Guangdong Donyan Network
3009F9	IEEE Registration Authority
0440A9	New H3C
DC3979	Cisco
00203D	Honeywell Environmental & Combustion Controls
80B624	IVS
DCF505	Azurewave
FCC233	Private
0CB527	Huawei
8489EC	IEEE Registration Authority
5CFB7C	Shenzhen Jingxun Telecom
CCEED9	VAHLE Automation
C8C2F5	Flextronics ManufacturingCo
0415D9	Viwone
0020AF	3Com
000475	3Com
00073A	Inventel
00A0D1	Inventec
001E33	Inventec
002654	3Com
005004	3Com
CCC5E5	Dell
10A24E	GOLD3LINK
E86A64	LCFC
0C2A86	Fiberhome Telecom
0409A5	HFR
D87D7F	Sagemcom Broadband SAS
A4ED43	IEEE Registration Authority
485F99	Cloud Network
C04004	Medicaroid
8C61A3	ARRIS Group
704FB8	ARRIS Group
7C696B	Atmosic
78055F	Shenzhen WYC
E063DA	Ubiquiti Networks
50579C	Seiko Epson
C8D9D2	HP
54278D	NXP Management
DC41E5	Shenzhen Zhixin Data
B0BE76	TP-Link
D80D17	TP-Link
CC08FB	TP-Link
541031	Smarto
C474F8	Hot Pepper
1C427D	Guangdong Oppo Mobile Telecom
5029F5	Guangdong Oppo Mobile Telecom
BC3865	Jwcnetworks
8CFCA0	Shenzhen Smart Device
E81A58	Technologic Systems
2CCA0C	Withus Planet
4C569D	Apple
14C213	Apple
38539C	Apple
58E6BA	Apple
B41D2B	Shenzhen YOUHUA
3C6A2C	IEEE Registration Authority
0CBF74	Morse Micro
FC8F7D	Shenzhen Gongjin
847F3D	Integrated Device Sdn. Bhd
900EB3	Shenzhen Amediatech
BC26C7	Cisco
Ccbbfe	Huawei
20283E	Huawei
0C4101	Ruichi Auto
F0A225	Private
00B4F5	DongGuan Siyoto
F8C249	Private
34DAC1	SAE Development
60CE92	Refined
48A6B8	Sonos
B47748	Shenzhen Neoway
A83FA1	IEEE Registration Authority
B831B5	Microsoft
046B25	Sichuan Tianyi Comheart Telecom
E8ADA6	Sagemcom Broadband SAS
0000BD	Mitsubishi Cable
706D15	Cisco
84E5D8	Guangdong UNIPOE IoT
1098C3	Murata Manufacturing
3C01EF	Sony Mobile
18BE92	Delta Networks
D89685	GoPro
80FBF0	Quectel Wireless Solutions
90633B	Samsung
782327	Samsung
1C24CD	Askey
B82CA0	Resideo
F8A45F	Xiaomi
8CBEBE	Xiaomi
640980	Xiaomi
98FAE3	Xiaomi
185936	Xiaomi
9C99A0	Xiaomi
60A730	Shenzhen Yipinfang Internet
A0B549	Arcadyan
ACAE19	Roku
C40BCB	Xiaomi
ECD09F	Xiaomi
F4F5DB	Xiaomi
E446DA	Xiaomi
18F0E4	Xiaomi
48352E	Shenzhen Wolck Network Product
9C2EA1	Xiaomi
50A009	Xiaomi
20A60C	Xiaomi
7C573C	Aruba
041EFA	BISSELL Homecare
A41162	Arlo
0025DF	Private
E89E0C	Private
3C9180	Liteon
20326C	Samsung
E44CC7	IEEE Registration Authority
A8346A	Samsung
B06FE0	Samsung
70BF92	GN Audio
9440C9	Hewlett Packard
906D05	BXB
A4C3F0	Intel
745BC5	IEEE Registration Authority
80FD7A	BLU
CCDC55	Dragonchip
A0510B	Intel
001A9A	Skyworth Digital
A089E4	Skyworth Digital
90F891	Kaonmedia
445D5E	SHENZHEN Coolkit
2C1875	Skyworth Digital
989BCB	AVM Audiovisuelles Marketing und Computersysteme
6CA928	HMD Global
70ACD7	Shenzhen YOUHUA
90A365	HMD Global
BC024A	HMD Global
6CC4D5	HMD Global
6003A6	Inteno Broadband
B0BB8B	Wavetel
3441A8	ER-Telecom
98460A	Apple
AC88FD	Apple
149D99	Apple
28107B	D-Link
9094E4	D-Link
1CBDB9	D-Link
1C5F2B	D-Link
10BEF5	D-Link
D8FEE3	D-Link
C0A0BB	D-Link
B0C554	D-Link
C4A81D	D-Link
1C7EE5	D-Link
6C198F	D-Link
F8E903	D-Link
409BCD	D-Link
0CB6D2	D-Link
8CE748	Private
A8BF3C	HDV Phoelectron
D4F527	Siemens
846FCE	Guangdong Oppo Mobile Telecom
701E68	Hanna Instruments
008764	Cisco
E0DCFF	Xiaomi
94C2BD	Tecnobit
608CDF	Private
D041C9	Fiberhome Telecom
E8018D	Fiberhome Telecom
60AB67	Xiaomi
183D5E	Huawei
88BCC1	Huawei
6C23CB	Wattty
00122A	VTech Telecom
C468D0	VTech Telecom
5051A9	Texas Instruments
981E19	Sagemcom Broadband SAS
C4C138	OWLink
18F18E	ChipER
B8D526	ZyXEL
F42E7F	Aruba
0084ED	Private
00198F	Nokia Bell N.V
0CE99A	Atls Altec
8C89FA	Zhejiang Hechuan
402343	Chongqing Fugui
F848FD	China Mobile Group Device
143CC3	Huawei
EC5623	Huawei
243154	Huawei
483FE9	Huawei
FC2BB2	Actiontec
346B5B	New H3C
F8E4FB	Actiontec
207600	Actiontec
001F90	Actiontec
E86FF2	Actiontec
181BEB	Actiontec
94EE9F	HMD Global
ACA46E	Shenzhen Gongjin
80DABC	Megafone
5075F1	ARRIS Group
00A0B8	NetApp
3050FD	Skyworth Digital
80D04A	Technicolor CH USA
4C1744	Amazon
4C9157	Fujian LANDI Commercial Equipment
501395	Sichuan AI-Link
88DA33	Beijing Xiaoyuer Network
5C1CB9	vivo Mobile
DCB082	Nokia
5C5B35	Mist Systems
84FDD1	Intel
D0196A	Ciena
D4351D	Technicolor
6009C3	u-blox
CC8826	LG Innotek
0C6F9C	Shaw
1801E3	Bittium Wireless
C0AC54	Sagemcom Broadband SAS
40F201	Sagemcom Broadband SAS
C891F9	Sagemcom Broadband SAS
4CFF12	Fuze
0059AC	KPN. B.V
AC9A22	NXP Semiconductors
006037	NXP Semiconductors
546009	Google
A47733	Google
94EB2C	Google
28BC56	EMAC
287CDB	Hefei Toycloud
D0B33F	Shenzhen TINNO Mobile
00738D	Shenzhen TINNO Mobile
A8CA7B	Huawei
ACCF85	Huawei
2435CC	Zhongshan Scinan Internet Of Things
2C27D7	HP
000F3D	D-Link
001195	D-Link
0015E9	D-Link
0CFD37	SUSE Linux
2CFF65	Oki Electric
001CF0	D-Link
00265A	D-Link
7C18CD	E-TRON
3897D6	Hangzhou H3C
C8478C	Beken
8896B6	Global Fire Equipment S.A
188796	HTC
AC2A0C	CSR Zhuzhou Institute
F4CA24	FreeBit
000A57	HP
643150	HP
002376	HTC
0007E9	Intel
B46D83	Intel
E4FAFD	Intel
DC5360	Intel
780CB8	Intel
484520	Intel
004026	Buffalo.Inc
0002A5	HP
A02BB8	HP
6CC217	HP
3863BB	HP
CC3E5F	HP
7446A0	HP
443192	HP
FC15B4	HP
EC9A74	HP
80C16E	HP
D07E28	HP
7403BD	Buffalo.Inc
101F74	HP
001A4B	HP
001F29	HP
00215A	HP
000F61	HP
001185	HP
001279	HP
001708	HP
2832C5	HUMAX
EC4D47	Huawei
88CF98	Huawei
6CE3B6	Nera Telecom
942CB3	HUMAX
C87B5B	zte
98F537	zte
001E73	zte
0019C6	zte
0015EB	zte
F0EBD0	Shanghai Feixun
D8490B	Huawei
888603	Huawei
F8E811	Huawei
E09796	Huawei
CCCC81	Huawei
101B54	Huawei
7054F5	Huawei
D07AB5	Huawei
C40528	Huawei
3CDFBD	Huawei
14B968	Huawei
80717A	Huawei
F49FF3	Huawei
784B87	Murata Manufacturing
5CF8A1	Murata Manufacturing
6021C0	Murata Manufacturing
84DBAC	Huawei
C07009	Huawei
E0191D	Huawei
B8BC1B	Huawei
241FA0	Huawei
50A72B	Huawei
C85195	Huawei
00F81C	Huawei
F4559C	Huawei
283CE4	Huawei
001D0F	TP-Link
5C63BF	TP-Link
B0487A	TP-Link
388345	TP-Link
14E6E4	TP-Link
647002	TP-Link
6466B3	TP-Link
6CE873	TP-Link
08E84F	Huawei
04BD70	Huawei
18C58A	Huawei
04C06F	Huawei
5C4CA9	Huawei
4C5499	Huawei
00259E	Huawei
001882	Huawei
00906F	Cisco
0090A6	Cisco
0090AB	Cisco
7426AC	Cisco
B000B4	Cisco
2834A2	Cisco
641225	Cisco
544A00	Cisco
5067AE	Cisco
BC16F5	Cisco
6899CD	Cisco
F44E05	Cisco
0CF5A4	Cisco
5CFC66	Cisco
D0A5A6	Cisco
3C5EC3	Cisco
64F69D	Cisco
74A2E6	Cisco
204C9E	Cisco
00112F	ASUS
0011D8	ASUS
001731	ASUS
0018F3	ASUS
485B39	ASUS
F46D04	ASUS
3085A9	ASUS
00900C	Cisco
001079	Cisco
00102F	Cisco
000E08	Cisco-Linksys
00602F	Cisco
006070	Cisco
006083	Cisco
00067C	Cisco
C8D719	Cisco-Linksys
54781A	Cisco
58971E	Cisco
CCD539	Cisco
20BBC0	Cisco
4C4E35	Cisco
7CAD74	Cisco
10F311	Cisco
08CC68	Cisco
D0C789	Cisco
F84F57	Cisco
34DBFD	Cisco
5CA48A	Cisco
0010A6	Cisco
E86549	Cisco
84B517	Cisco
046273	Cisco
9C57AD	Cisco
00223A	Cisco SPVTG
001839	Cisco-Linksys
001EE5	Cisco-Linksys
38C85C	Cisco SPVTG
F45FD4	Cisco SPVTG
847D50	Holley Metering
6C4A39	Bita
04214C	Insight Energy Ventures
4C8ECC	Silkan
98F428	zte
7C5A67	JNC Systems
C4BBEA	Pakedge Device and
84100D	Motorola Mobility
D88B4C	KingTing
6C9354	Yaojin
4054E4	Wearsafe
8CE2DA	Circle Media
74D7CA	Panasonic Automotive
1CCDE5	Shanghai Wind
D494E8	Huawei
B078F0	Beijing HuaqinWorld
3029BE	Shanghai MRDcom
7011AE	Music Life
ECB870	Beijing Heweinet
3095E3	Shanghai Simcom
54BE53	zte
A01E0B	MINIX
D48304	Shenzhen Fast
385F66	Cisco SPVTG
58FC73	Arria Live Media
2C1BC8	Hunan Topview Network System
D888CE	RF
D4F4BE	Palo Alto Networks
B88687	Liteon
68F956	Objetivos y Servicio de Valor A?adido
F4E926	Tianjin Zanpu
04C23E	HTC
2CFCE4	CTEK Sweden
C0B713	Beijing Xiaoyuer
DCA3AC	RBcloudtech
44656A	Mega Video
300C23	zte
445F8C	Intercel Group
A48D3B	Vizio
0C756C	Anaren Microwave
5C5188	Motorola Mobility
689AB7	Atelier Vision
640DE6	Petra Systems
283713	Shenzhen 3Nod Digital
7CAB25	Mesmo
74042B	Lenovo Mobile
4455B1	Huawei
A45602	fenglian
D06A1F	BSE
A88038	ShenZhen MovingComm
805067	W & D
402814	RFI
102C83	Ximea
D468BA	Shenzhen Sundray
A47B85	ULTIMEDIA
F80D60	Canon
E02CB2	Lenovo Mobile
DC15DB	Ge Ruili Intelligent
30F335	Huawei
E89120	Motorola Mobility
546172	Zodiac Aerospace SAS
54CD10	Panasonic Mobile
A4A1E4	Innotube
706879	Saijo Denki
343D98	JinQianMao
5804CB	Tianjin Huisun
1CB72C	ASUS
287610	IgniteNet
68A378	Freebox SAS
746A3A	Aperi
1844E6	zte
A8D409	USA 111
3089D3	Hongkong Ucloudlink Network
4CB76D	Novi Security
906CAC	Fortinet
00323A	so-logic
64DB81	Syszone
C4BAA3	Beijing Winicssec
20635F	Abeeway
E00370	ShenZhen Continental Wireless
709C8F	Nero
807459	K's
CC9635	LVS
700136	FATEK Automation
E03560	Challenger Supply Holdings
0CB5DE	Alcatel Lucent
E4CE70	Health & Life
EC5A86	Yulong Telecom Scientific
F87AEF	Rosonix
18B169	Sonicwall
1CC72D	Shenzhen Huapu Digital
38D82F	zte
2CA2B4	Fortify
D87495	zte
8C873B	Leica Camera
28E476	Pi-Coral
9C685B	Octonion
ACABBF	AthenTek
5C41E7	Wiatec
DC0914	Talk-A-Phone
142971	Nemoa
B47356	Hangzhou Treebear Networking
D88D5C	Elentec
50ADD5	Dynalec
28D98A	Hangzhou Konke
BC4DFB	Hitron
40EACE	Founder Broadband Network
10C67E	Shenzhen Juchin
3C4937	ASSMANN
904506	Tokyo Boeki Medisys
80A85D	Osterhout Design Group
9C6C15	Microsoft
EC74BA	Hirschmann Automation and Control
683C7D	Magic Intelligence
60128B	Canon
Ecbafe	Giroptic
E8447E	Bitdefender SRL
84C3E8	Vaillant
B88EC6	Stateless Networks
146B72	Shenzhen Fortune Ship
7C7A53	Phytrex
4886E8	Microsoft
88E161	Art Beijing Science and Development
B4A9FE	GHIA
700FC7	Shenzhen Ikinloop
EC8009	NovaSparks
64002D	Powerlinq
101218	Korins
B04515	mira fitness
A49D49	Ketra
C09879	Acer
1C9ECB	Beijing Nari Smartchip Microelectronics
D48DD9	Meld
2C3796	Cybo
9470D2	Winfirm
2C2997	Microsoft
4CE2F1	sclak srl
344DEA	zte
908C09	Total Phase
1C7E51	3bumen.com
380E7B	V.P.S. Thai
38F33F	Tatsuno
28A5EE	Shenzhen SDGI CATV
94CE31	CTS
4CBB58	Chicony
C40006	Lipi Data Systems
789CE7	Shenzhen Aikede
5C2ED2	ABC
D8F710	Libre Wireless
68F728	LCFC
DCEC06	Heimi Network
8870EF	SC Professional Trading
102F6B	Microsoft
ACB74F	METEL s.r.o
CCF538	3isysnetworks
04DEDB	Rockport Networks
68F06D	Along
54F876	ABB
84930C	Incoax Networks
D47B35	NEO Monitors
D8FB11	Axacore
C8D019	Shanghai Tigercel
18A958	Provision Thai
D8DECE	Isung
2053CA	Risk
142BD6	Guangdong Appscomm
B025AA	Private
408256	Continental Automotive
D866EE	Boxin
3C189F	Nokia
2829CC	Corsa
FC790B	Hitachi High America
28E6E9	SIS Sat Internet
BC4E5D	ZhongMiao
08F728	GLOBO Multimedia Sp. z o.o. Sp.k
70720D	Lenovo Mobile
8401A7	Greyware Automation
C4C9EC	Gugaoo HK
F406A5	Hangzhou Bianfeng Networking
4C3909	HPL Electric & Power
7CFE4E	Shenzhen Safe vision
54EF92	Shenzhen Elink
800E24	ForgetBox
FCE186	A3M
CCB691	NECMagnusCommunications
40167E	ASUS
C89F1D	Shenzhen
983713	PT.Navicom Indonesia
ACA919	TrekStor
84850A	Hella Sonnen- und Wetterschutztechnik
183009	Woojin Systems
6081F9	Helium Systems
34C5D0	Hagleitner Hygiene
74DBD1	Ebay
3431C4	AVM
DC537C	Compal Broadband Networks
A00627	NEXPA System
303335	Boosty
18D5B6	SMG Holdings
C8FF77	Dyson
DCF110	Nokia
54DF00	Ulterius
E01D38	Beijing HuaqinWorld
D80CCF	C.G.V. S.A.S
143DF2	Beijing Shidai Hongyuan Network
B0D59D	Shenzhen Zowee
C4913A	Shenzhen Sanland
A46032	MRV
205A00	Coval
0C2026	noax
880FB6	Jabil Circuits India
C4626B	ZPT Vigantice
74F85D	Berkeley Nucleonics
48EE07	Silver Palm
9CFBF1	MESOMATIC &KG
94C014	Sorter Sp. j. Konrad Grzeszczyk MichaA
1027BE	Tvip
2087AC	AES motomation
A824EB	ZAO NPO Introtest
447E76	Trek
E8FC60	ELCOM Innovations
1CFCBB	Realfiction ApS
B0EC8F	GMX SAS
C40E45	ACK Networks
5C254C	Avire Global
7C1A03	8Locations
481842	Shanghai Winaas. Equipment
D09C30	Foster Electric
78FEE2	Shanghai Diveo
386C9B	Ivy Biomedical
E44C6C	Shenzhen Guo Wei
008B43	Rftech
2C957F	zte
242642	Sharp
282246	Beijing Sinoix
FC1607	Taian
CC89FD	Nokia
E86183	Black Diamond Advanced
C4824E	Changzhou Uchip
24A87D	Panasonic Automotive Systems Asia PacificCo
78EC74	Kyland-USA
28C825	DellKing
64E892	Morio Denki
086DF2	Shenzhen MIMOWAVE
48D0CF	Universal
DCC793	Nokia
E03F49	ASUS
D8EE78	Moog Protokraft
F4B6E5	TerraSem
28BB59	RNET
7C8D91	Shanghai Hongzhuo Information
A881F1	Bmeye B.V
241148	Entropix
30B5C2	TP-Link
F85C45	IC Nexus
04DB8A	Suntech
083F76	Intellian
D0634D	Meiko Maschinenbau
889CA6	BTB Korea
B0DA00	Cera
447098	Ming Hong
00EEBD	HTC
48B5A7	Glory Horse
DC5E36	Paterson
50E0C7	TurControlSystme
28FC51	Electric Controller and Manufacturing
34A5E1	Sensorist ApS
A4E9A3	Honest
C4E92F	AB Sciex
9C216A	TP-Link
F862AA	xn Systems
A4059E	STA Infinity LLP
6C15F9	Nautronix
680AD7	Yancheng Kecheng Optoelectronic
BC8893	VILLBAU
643F5F	Exablaze
E8F226	Millson Custom Solutions
7060DE	LaVision
FCFE77	Hitachi Reftechno
70533F	Alfa Instrumentos Eletronicos
448A5B	Micro-Star
68193F	Digital Airways
5CD61F	Qardio
902083	General Engine Management Systems
C03580	A&R
1446E4	Avistel
907990	Benchmark
C49380	Speedytel
B4A82B	Histar Digital
60A9B0	Merchandising
007DFA	Volkswagen Group Of America
6024C1	Jiangsu Zhongxun
6C5AB5	TCL Technoly
88789C	Game
18AA45	Fon
549359	Shenzhen Twowing
284430	GenesisTechnical Systems
9843DA	Intertech
B07908	Cummings
04CB1D	Traka
B87AC9	Siemens
B0989F	LG CNS
3C300C	Dewar
78B5D2	Ever Treasure
A409CB	Alfred Kaercher
C445EC	Shanghai Yali
E8611F	Dawning Information
0CA694	Sunitec
146080	zte
986CF5	zte
78491D	Will-Burt
74D435	Giga-Byte
840F45	Shanghai GMT Digital
D8270C	MaxTronic
E80410	Private
8C088B	Remote Solution
A47760	Nokia
24A495	Thales Canada
883612	SRC
